Makale_Basligi,Etiket
Common LINQ Methods with Examples in .NET Core,0
Introducing EasyMessages: Stop Wasting Time on Message Wording in .NET (Alpha Release),1
"🏛️ Uniface Forms Explained for C# Developers: The Original ""WinForms""",1
ASP .NET Core modals,0
Modern C# Development: User Defined Increment and decrement,1
I'm building an open-source AI ATC for flight sims (and looking for like-minded devs),1
The Essential Interfaces Every C# Developer Should Know,1
Build Your Local AI with C# and .NET,1
Applying Object Relational Mapping (ORM) on a C# .NET application,0
The Two Halves of Program.cs in .NET,0
Config-Aware Rules in .NET — The Power Feature of Cocoar.Configuration (Part 2),0
What's New in .NET 10 and C# 14,1
C# Async/Await in .NET 10: The Complete Technical Guide for 2025,1
CancellationToken: The Complete Technical Guide for .NET Developers,1
Tutorial: Building a .NET 9 Console App with Hangfire and Channels,0
C# for the Web: How Microsoft is Reshaping Modern Web Development,1
Exploring the new .slnx Visual Studio Solutions Format,1
Exploring Extension Blocks in .NET 10,0
New File-Based Apps in .NET 10: You Can Now Run C# in Just 1 File!,1
CurlDotNet: Bringing curl Superpowers to Every Corner of the .NET 10 / C# Stack,1
RoomSharp: Source-Generated Data Layer for Modern .NET,1
Curl in .Net 10 and C#,0
"How to Package .NET Software: Choosing Between DLLs, SDKs, and NuGet Packages",0
Python Inside .NET,0
Jordium.Snowflake.NET — A Fast and Lightweight Distributed ID Generator for .NET,0
Implementing the Inbox Pattern with Brighter V10 using Kafka and PostgreSQL,1
How to Use curl in .NET 10 (C#),0
Demystifying Excel Page Counts in C#: A Practical Guide,1
Real-Time Streaming in .NET SignalR — Live Data Like Trading Apps,0
My first Windows App,1
The .NET News daily newsletter for C# developers,0
BotticelliBundle: Simplified Deployment of Chatbots using Docker,0
Beginner’s Guide to .NET Development,0
🎥 SQL Server Partitioning video just dropped!,0
Trupe: Implementing Actor Model in .NET,1
Trupe: Implementando o Modelo de Atores no .NET,0
Strategic Pagination Patterns for .NET APIs,1
"ByteAether.Ulid 1.3.2: .NET 10 Support, C# 14's Field, and Engineering Zero-Overhead IDs",0
New Features in .NET 10 and C# 14,1
Mastering the Options Pattern in .NET — Strongly Typed Configuration Made Simple,1
What's new in .NET 10,1
Mastering ILogger in .NET Core — Complete Logging Guide for Developers,1
ASP .NET Core Project details,0
Comparing C# AI Libraries: Which One Boosts Dev Productivity Most?,1
MLOps Best Practices: Streamlining AI Deployments in C# for 2025,1
Sleek & Modern WPF: Build a Real-Time Word Counter Dashboard (C# Tutorial),1
Creating a Blazor Template With Multiple Projects: Error from vstemplate file,0
WPF returns UnsetValue on RelativeSource to Ancestor,0
"Self-contained publish works locally but fails on other machines: ""Failed to update database to latest state""",0
Aspire with a .NET 9 Blazor App: increasing Polly retry for HttpClientFactory while using a Http Message handler,0
Allowing debugging in a .NET Framework 4.7.2 async Windows Service that uses Quartz.Net,0
Bluetooth LE Device Connects Then Immediately Disconnects on First Attempt,1
How do I stop Visual Studio 2022 from breaking on CAUGHT exceptions?,1
Keyboard input does not reach WebView2 when embedding a C# WinForms window inside Delphi 7 using SetParent,0
Can't build the MAUI project on Mac with Visual Studio,0
C# .net cannot run in VS code,0
Why does IKeyedServiceProvider require manual registration in .NET 9 DI container?,0
Is WPF binding correct?,0
C# WPF strict MVVM: Basic TreeView SelectedItem ViewModel Problem,0
How should navigation between views be implemented in WPF using MVVM and ICommand?,0
.NET 8 with ModelState validation not returning errors,0
.NET logging without passing an ILogger around,0
"How to dynamically set an HTML header tag (h1, h2, etc.) in a Blazor component?",0
Sorting the List<string> from a data class model field in descending order,1
How to configure model with two principals related to the same child?,1
Prevent Default Scale Behaviour On .NET Maui Android,0
How to print an image on an ESC/POS thermal printer in .NET MAUI?,0
"Azure Web App | Deployment Error - Framework-dependent is an invalid value for the ""SelfContained"" parameter of the ""ProcessFrameworkReferences""",0
Preventing timeout when debugging (stepping through the code) in .NET Azure Function apps,0
Firebase Crashlytics and NET9 MAUI errors,0
Blazor JSinterop invokeMethodAsync on blur event is affecting js component behavior,0
How to align a byte array transferred from Blazor to Typescript via interop to a multiple of 2 bytes?,0
C# Pass null to Generic Method Receiving Nullable Type,0
ASP.NET Core 10 extra content returned on JSON result,0
Cant create a public class in app.MapGet in Minimal api app,0
Elsa Workflows 3 configuration for Entity Framework Core with SQL Server,0
C# .NET extension without extension method,0
TSC TTP-225 printer label misaligned only on first print from .NET 8 console app,1
Registration of Views and ViewModels with a parametered constructor in MAUI,0
Is projecting directly to nested DTOs using ternary operators to handle nulls a reliable pattern in EF Core 8?,1
Android Subscription in MAUI BillingService,0
"How to fix ""Could not load file or assembly 'System.Threading.Tasks.Extensions`"" exception when using System.Text.Json in .NET Framework?",0
ToolTip.Popup event not firing with ToolTip.Show() in .NET Framework,0
Using SSL certificate failed with OpenSSL error - ca md too weak. .NET 9 Docker,0
How to distribute a .NET 9 application using Microsoft.Office.Interop.Excel?,0
Visual Studio create new custom Scaffold Item for Razor WebApp,1
Linq sort entity if JSON value exists,0
How to remove Hot Reload Service in .NET,0
WinForms / .NETFramework: Format DataGridViewCell according to ValidationResult,0
.NET DataViewGrid displays both date and time in a column unless it's midnight then you only see the date,0
how to use wpf datagrid in c# with autocomplete datagrid inside a cell,0
Deserialize complex JSON with data in keys,0
Using JsonSchema.Net to validate JSON when the JSON schema references other schemas,0
IIS time-taken shows multi-second latency while ASP.NET webforms → WCF → SQL timings are sub-second (intermittent),0
DevExpress ASPxGridView reloads data on every group row expand - how to cache/prevent?,1
How can I connect to an Epson printer in a .NET 8 class library?,0
SupplyParameterFromQuery vs Parameter in Blazor,0
How to stop Default behaviour of Blazored.TextEditor,1
What is the difference between these two methods of returning new instance value?,1
504 Gateway Timeout Error While Downloading Folder with Multiple Files,0
How to get DataContext from PlacementTarget parent in ContextMenu WPF,0
Grpc bidirectional stream not throwing exception when not implemented,0
How can I make a customized RadioButton fill up available space horizontally in .NET Maui,0
WPF MVVM: View XAML throws runtime exception when instantiating inventory management window,0
Disposing FileStream in .NET,0
System.Net.Http.MutlipartFormDataContent error in client running in .NET Framework 4.8 when connecting to Apache Tomcat server,0
How to achieve PCM playback on .NET Android using AudioTrack,0
Merging FHIR patients using Firely .NET,0
Why C# compiler does not see that variable is not null before exiting constructor?,0
Microsoft Feature Management custom provider DI error in VS Code,0
Weird invalid signature exception on second try,0
"How to prevent ""Operation not supported"" exception when making HTTP request from Cloud Run web instance?",0
Running a .NET Framework 4.7.2 Windows Service on Windows 10/11 ARM64,0
Polymorphic deserialize JSON using DI container to create instances,0
How does WinForms manage to display ⅓ for the Verdana font when it doesn't exist in that font? And why does it not work for Windows 11?,0
ASP.NET Web API - Model binder validation property name,1
.NET Minimal APIs built-in validation stops working when endpoint mapping is in different assembly than validatable DTO,0
Root provider injected into service resolved from provider of new scope,1
Move HTTP request with cert file from nodeJs to .NET not working,0
.NET MAUI 9 ZXing.Net.Maui doesn’t scan 26-character Code128 barcodes (not detected or decoded incorrectly),0
MAUI Behavior doesn't change the result,0
How to Clean Ugly Extension Methods,1
".NET IHttpClientFactory + Microsoft Resilience retry: same HttpRequestMessage resent, delegating handler not re-running?",0
.NET Minimal API app.MapFallback doesn't complete the request,1
Multiplayer programming advice for new game (C# & Mono),1
Upgrading project to .NET 10 breaks Scalar support when using document transformers,0
`Common Language Runtime detected an invalid program` error generating simple dynamic method,0
WPF Custom Control VisualState affecting other instances when using StaticResource for themed colors,0
How to create a custom ListBox in C# WinForms (Visual Studio 2022),0
"Apache.Avro.Tools (avrogen) fails to resolve referenced schema in .NET: ""Undefined name""",0
Convert Month/Day/Year columns to date to check date in a SQL Query,0
AWS S3 .NET SDK download fails for .mp4 and .mp3 files with IOException: “An existing connection was forcibly closed by the remote host”,0
Telerik Report Generation Fails in IIS on Azure VM with OperationCanceledException,0
Tablelayoutpanel winforms cellpainting event draw a outside curve at first column,1
How can I render the plaintext first before the image in Blazor?,1
FontAwesome icon not displaying when reloading Blazor component,0
"Wix 5 - Installer BootstrapperApplicationRun() Runtime Error ""value does not fall within expected range""",0
Maui Popup - Message does not fill entire popup area on iOS,0
Which design pattern should be used for the backend of a web application?,1
Azure Function cache misses - In Memory Cache .NET,0
What are the kinds of practical difficulties you've run into when implementing Microfrontends?,1
Declaring SqlConnection fails service to start,0
How can I make UI template Javascript work each time a page is loaded in Blazor SSR Application .NET 9?,0
Entity Framework Core is using literal values instead of parameters. Do I need to worry for SQL injection,0
.NET 10 benchmark oddities (comparing to .NET 9),0
MSTest not properly discovering DataTestMethods when adding new folder to project,1
Having issues with passing an object to be displayed between two view models in .NET Maui using Community Toolkit,0
How does .NET ensure memory safety of the compiler generated state machine for async/await?,0
WebView in .NET MAUI can not access a webpage that is served on a VM using Fiddler (a proxy),0
.NET 9.0 No interactivity until the WASM switch on the Counter page with InteractiveAuto,0
Ignore boolean property = true in JSON serialization,0
"Blazor - running method in program.cs throws an error ""An unhandled error occurred""",0
MAUI WebAuthenticator with Microsoft SSO doesn't return IdToken / AccessToken is not JWT,0
How to define the data model as a SQL variable not a table or view in EF Core?,1
How to handle Disposing of CryptoStream after exception occurs during decrypt,0
Server Side pages in Blazor WASM project,0
.NET Aspire: Overriding Kafka configuration in a container with a forced --environment ENTRYPOINT,0
Use MouseDoubleClick event trigger in every datagrid row,1
Which exceptions are able to be thrown by S3 in the .NET SDK?,0
"How to handle empty string textbox bound to an int property validation error in WPF? Value """" could be not converted MVVM",0
.NET 9 equivalent for System.Runtime.Remoting.Lifetime,0
Load Custom Controls into ToolBox in .NET 8,0
JSON Deserialization of Custom HashSet,0
MAUI MacCatalyst doesn't support RefreshView. Any workaround?,0
How to handle errors in Blazor WebAssembly?,0
WPF TabControl: Hiding tab headers leaves a border line on top,0
Draw a straight line between two visual elements in MAUI app. .NET 9,0
How to update Maui from .NET 8 to .NET 9?,0
How do I convert this Visual Foxpro DLL call to .NET Core,0
Managed exceptions in MAUI Windows app logged as CoreMessagingXP.dll crashes,0
"How to log ""who did what"" without adding userId in every method?",1
PeriodicWorkRequest is not being scheduled in my MAUI App,0
AWS SDK v4 and S3 GetObject - System.Net.WebException: The underlying connection was closed: An unexpected error occurred on a send,0
Why hasn’t C# evolved null into a fully target-typed literal like default or []?,0
JWT claims in Blazor web app do not get taken over,0
Blazor Server Side Windows impersonation to update Active Directory fails,0
.NET Sporadic FormatException: Cannot deserialize a 'String' from BsonType 'ObjectId',0
Populate a DataTable row with the primary key after an Insert into a SQL Server table,0
Treat every line of my code as a breakpoint,1
Decorator Pattern with DI,1
Managing async Tasks when shutdown occurs in .NET apps,0
Why after updating .NET core extension in vscode do all my builds want to use .NET 8 and how do I rollback?,0
"What's the recommended way to handle situations where references are possibly null, but if they're null the program is fundamentally flawed anyway?",0
C# Maui UraniumUI TabView how to set a global override to current selected tab?,0
Enable hot reload in a Blazor project,0
WPF ListView: AutoScroll to last item when new messages arrive (chat-like behavior),1
How to solve System.IO.FileNotFoundException error for System.ClientModel,0
Dotnet Restore cannot find .NET 9 packages (NU1102) even though they exist in internal Artifactory NuGet,0
How to display Openstreetmap map on C# & WPF ? I only get black screen,0
How to send model and some other parameters from javascript to controller using jquery.ajax?,1
Getting started with MYOB .NET SDK (Not API),0
How can I dispose of the DbContext in a Blazor Web App to avoid resource leaks?,0
Performance comparison of where methods are called from,1
Is this the new proper way to detect AllowAnonymous with .net 10 and OpenApi?,1
.NET 10 behavior change - Configuration binding an IEnumerable record has missing entries when nullable parameters are null,0
Azure API Management delegation signature fails for ChangeProfile operation,0
ASP.NET Core 8.0 Web API makes endpoint call but response has an error,0
FontAwesome icons not displaying correctly on Android devices when used on XAML components in Maui Blazor Hybrid,0
.NET RSA.ImportRSAPrivateKey: issues importing private key,0
How can i correctly change the LLAMA3 default maxtoken=256 in Blazor app on .NET 10.0?,0
Blazor Maui Hybrid app showing main window but not the login route?,0
How can a mixed .NET 9 process both initialize tbbmalloc_proxy and have a valid AppDomain.BaseDirectory?,0
I am attempting to bind a WPF TreeViewItem to a TreeView and I'm getting an empty TreeView and two binding failures,0
"How to resolve Npgsql Exception: ""bad protocol version"" during SSL handshake on macOS with .NET 6 and Let's Encrypt?",0
Configure .NET Core 9 with OpenIddict in Docker,0
Blazor 9.0 Two-Way Databinding not working with Custom Component,0
"WPF (.NET 8) XAML cannot resolve namespaces, converters, ViewModels despite classes being public",0
".NET CopyToFileAsync reciving ""Safe handle has been closed."" exception",0
How do i make sure that 'this' is not null inside OnDisable() when stopping the game?,0
WMI: How to read Win32_OperatingSystem properties in .NET Framework 4.8?,0
Does the build configuration change the .NET Framework behavior dynamically?,0
"Localization in "".NET MAUI Blazor Hybrid and Web App"" not working",0
Conditionally handle multiple ValidationMessages with a ValidateComplexType model in an EditForm,1
.NET 9 x86 interop BadImageFormatException on Azure VM but works fine locally,0
GoogleAuthenticator (2FA) fails validation on mobile browsers but works on desktop in C# & ASP.NET MVC,0
GetIsNetworkAvailable() behaves differently depending on .NET version,0
How to cause an unhandled exception in ASP.NET Core 8 server app,0
How to build complex queries with Contentstack Management C# SDK v0.5.0 without using JObject or raw JSON strings,0
First item in SettingsExpander gets loaded and immediately unloaded,1
Adaptive Performance DirectoryNotFoundException unity,1
Does C# .NET AES GenerateKey (RandomNumberGenerator) truly use /dev/urandom on Linux,0
AWS SDK C# - 'Access denied to head index' error during Creation of a vector index for a collection,0
.NET 10 app can't load depending dll from subdirectory,0
MAUI Android target to version 16,0
MAUI Disable Soft keyboard for Entry,0
Why does this code return a null reference exception without warning?,0
Check if current .NET version is still supported in C#,0
Getting 404 error when trying to access custom classification model in new Document Intelligence Studio,1
.NET Core localization: Web API controller can't resolve IStringLocalizer<T> from another project,0
MAUI Hybrid issue with HTTP GET request from BlazorWebView,0
Troubles displaying MS Graph Draft Message in Outlook New in C#,1
C# WPF Filtering DataGrid ObservableCollection items based on text Input,0
"Why C# program (MySQL Connector/NET, .NET 8.0) compile on command prompt with csc, but not in Visual Studio 2022?",0
Ninjatrader Drop Down box to fill TextBox value or button text value (c# with WPF available),0
C# Winforms treeview auto sort crashes my app,0
Create Intune App Protection Policy with Microsoft.Graph 5.91.0 fails for id is null,0
Customized tooltip for TreeView nodes fails due to the Popup event not firing,0
Blazor .NET 10 dependency injected service call is not even firing,0
ESSL/device communication SDK not triggering face camera for enrollment on AI FaceMars device,1
Cake script fails when importing Octopus Tools,0
UDP C# communication dummy model,1
Blazor auto render mode prerender flicker problem even though pages use persistence,0
Error executing child request for handler: not finding the controller,0
How do I remove warning 'Possible null reference argument for parameter',0
"The reference assemblies for .NETFramework,Version=v0.0 were not found, good practice to target ""net-9.0-android"" when building MAUI project?",0
Storing JWT token in protected local storage returns null due to prerender issue and giving 401 error when calling API endpoint,0
"WPF freezing, related to ICommand.CanExecuteChanged?",0
"Blazor web app .NET 9: I can open and manage SQLite database in debug mode, but not in the hosted web app in IIS",0
Unity Android: AudioSource.Play() works in Editor but no sound until first screen tap on device,1
CefSharp initialisation problem in my WPF project,0
Adding package reference System.Linq.AsyncEnumerable cause CS0518/CS0656 compile error,0
Is there a way to preview and print reports in .NET WinUI 3?,0
How can I prevent CS7036 error when initializing a record object?,0
How to use App.Config codebase tag with .NET assembly relative path?,0
Bind TabControl content to child properties when ItemsSource contains view and view model pair properties,1
Comparing two pdf files byte by byte for integration testing fails,0
How to dynamically add a GridForeignColumn to a Syncfusion Blazor Grid?,0
Generate classes from .xsd fails,0
Grpc.Core.RpcException: Error starting gRPC call in Azure Functions isolated worker after upgrading to Visual Studio 2022 17.14.x,0
"IIOP.NET SSLPlugin fails with omniORB SSL/mTLS (TCP works) — certificates imported, OpenSSL succeeds",0
Can I deserialize a nested JSON property in place of its object,0
Applying relief (emboss) effect to bitmap using GetPixel/SetPixel in C# WinForms,0
ASP.NET Core dependency inject (Generic) error,0
C# Maui Secondary window/contentpage opens the same size as MainPage,0
"WireMock.Net is throwing an exception: ""An error occurred while sending the request""",0
How to test .NET Core Console application which uses Dependency Injection using xUnit?,0
Terminating a hung thread in a C# .NET desktop app,0
"Data validation error text appears inside TemplatedControl, but inner TextBox does not get a border",0
.NET performance is not scaling linearly with core count,1
"In my Blazor Server application, how can I setup a control property like angular's ""ng-if"" that I can apply to any html tag?",0
What causes Blazor Bootstrap Tooltip not to include newline?,0
"Tmds.DBus query works in a console app, but throws exception in my AvaloniaUI application",0
Serialising and Deserialising a System.Data.DataSet to XML with SQL Server UniqueIdentifier using different .NET versions,0
How to get CallerArgumentExpression from Blazor component Parameter,0
.razor code not recognized (even in new blazor project),1
System.IO.IOException Error 121 on Raspberry Pi I²C with PCF8574 LCD using .NET,0
Model binding fails silently when using Razor pages (HTTP 400),1
How to create a custom json Deserializer that returns the fields name and the values from a dynamic json,0
Deserializing array of objects to concrete .NET types using Newtonsoft,0
"Generate a .NET .exe file that doesn't include IL, JIT, metadata in it",0
Expression compiler for .NET,0
CollectionView causes crash in Maui App on iOS only,0
MAUI how to access the view model inside a command where x:DataType is set,1
How to draw a scalable checkmark inside a custom WinForms Button using OnPaint?,0
InAppBillingPlugin returns an error when calling GetProductInfoAsync,0
"""MonoGame.Templates.CSharp could not be installed, the package does not exist"". How to fix in VS Code?",0
How to handle error during customized scoped dependency injection,0
".NET MAUI .NET 10 – project.assets.json missing targets for Android, iOS, Windows and Mac Catalyst (NETSDK1005)",0
Is there ever utility in assigning an IDbParameter's `.Value` to null after comparing its .Value to null with `is`?,0
How to send HTTP POST request with multipart/form-data with the form-data in initial request in .NET Framework?,0
"How to add format, pattern and maxlength?",1
"""Resource not found for the segment"" error reading email from Graph API",0
How to extend .net smartcard IDPrime 510 support to javacard in c# application,0
How can I safely close the SqlDataReader when retrieving SQL BLOB-data via Stream?,0
Maui QueryParameters not set in OnNavigatedTo,0
Filling Winforms datagrid using Postgres stored procedure,0
Is it possible in WinForms to set to Bold Forms Header text?,0
Prevent Winforms function from returning until Async calls have completed (without blocking),0
.NET 10.0 integration tests error with xunit v3 assembly fixture and WebApplicationFactory,0
Invalid directory left when CreateDirectory fails on bad path,0
docker-compose dependency on one .NET service ruins its healthcheck,0
Angular + .NET (Azure AD BFF): Handling 401 due to token expiry without losing unsaved form data (auto-save to DB only),0
Error message when doing Update-Database in Blazor using VIsual Studio,0
"How to identify cause of ""Cannot convert from type '<null>' to type 'System.Uri' in WPF",0
Logic App Standard Inline C# action fails to decrypt AES CBC with PKCS7 (works in function app),0
How to bind DataGridColumnHeader to its own viewmodel ObservableCollection in WPF,0
Custom login from external database with ASP .NET Core identity,0
C# calling new methods instead of overriding methods,1
Why does Azure Search return null for the calling method?,0
"Visual Studio Test Explorer hangs indefinitely on .NET 10 xUnit project, but dotnet test passes",0
Assembly loading at runtime for .NET and .NET Framework,0
"Using @attribute [Authorize(Policy = ""..."")] throws IAuthenticationService error in Blazor Server app",0
"Blazor web app Server .NET 9 throws error: ""A valid antiforgery token was not provided with the request""",0
Multiple SUM issue with EF SQL,0
C# Entity Framework issue when working with SQL Server in blog project,0
Bindable layout not binding in .NET MAUI,0
BadRequest is not returned when null is sent,0
How to figure out which module in Blazor Webassembly client causes the exception,0
Custom Model Binder resulting in Response 400 Bad Request,1
"WPF ""View Source"" in Live Visual Tree stopped working - can't open XAML or code-behind",0
"How do you set up binding in MAUI using MVVM with a CheckBox, CollectionView, DataTemplate and EventToCommandBehavior?",0
Right way to do HttpClient that can be injected and used in Blazor server,0
Sign in with Apple in .Net Framework desktop app,0
"How can .NET know my environment - staging, development, production?",0
Highsoft.Highcharts .NET wrapper v11.4.6.3 silently drops ChartEvents.Load string handler — worked in v11.0.1.1,0
Can't get PNG resource to show up in Visual Studio WPF designer,0
MongoDb .NET to replace string in array using ElemMatch(),0
Release mode for a NET9 MAUI failed to find entry classes.dex,0
OnCreateContextMenu never called Android .NET VS 2022,0
GHAS for Azure DevOps does not scan contents of wwwroot folder in .Net,0
How to make a WPF program launched by a background process gain focus?,0
.NET MAUI binding Label value with text from an List with specified index displays nothing,0
Why is insert failing in .net Web Api,0
"MAUI black screen on iOS when ""Linker behaviour"" set to ""SDKs Only""",0
Blazor image streaming - Chrome out of memory,0
Why am I getting BAD_NET_NAME error from WNetUseConnection with IP Address?,0
"In dependency property pattern in WPF, automatically cast the result of GetValue() to expected return type",1
.NET 8 console application slower after publish,0
WPF custom window (WindowStyle=None) on Windows 11 — how do I get native rounded corners and the OS drop shadow (like Teams)?,0
Problem with COM login (IBSesja) in Comarch ERP Optima – error 8007000E,0
JSON column mapping – navigation property throws NullReferenceException,0
"MongoDB C# Driver: Update only provided fields, including setting some fields to null",0
Could not load file or assembly 'System.Runtime.Serialization.formatters' in .NET 8 WinForms application,0
System.Text.Json deserialization not deserializing the Json string,0
Always getting Exception thrown: 'System.Windows.Markup.XamlParseException' in PresentationFramework.dll,0
How to set HatchStyle to Winforms Teechart ColorGrid series?,0
Entity type cannot be tracked error - Entity Framework,0
Blazor InteractiveAutoRender Mode Connection Lost Message,0
How to connect .NET application to IBM MQ using Server Side SSL/TLS authentication with username and password (X.509 certificate-based auth)?,0
unsure how to debug Unhandled exception MAUI,0
Blazor Server (Interactive Render Mode) Custom Login Page with IdentityCore and Cookie Authentication,0
.NET MAUI & Web API - How to authenticate users,0
Replace strings in files when using a .NET item template,0
How to deserialize JSON in C#? Is the input format data correct?,0
How to get the HWND handle of elements in .Net MAUI,0
RulesEngine type external not found error,0
WPF ComboBox equivalent of VB6 ComboBox.Click event,0
How does C# determine the end of a string without a null terminator?,0
Required data annotations returning namespace rather than error message value?,0
Referenced project error referencing package that doesn't exist,0
Changing a variable to a property produces an error,0
DPI awareness in Winforms app with TabControl and DataGridView - layout messes up when the window is moved between screens,0
EF Migration not working: Unable to find SQL Server Connection String when using AddDbContextPool instead of AddSqlServerDbContext,0
LINQ to SQL mapping a SQL Server uniqueidentifier to a Guid,0
ASP.NET Web API Publish Fails with Build failed. Check the Output window for more details,0
Why does EF Core create a new shadow foreign key instead of using an existing property?,1
How to unit test a pipeline in BizTalk 2020? Option to create a New Test is unavailable in VS2019,1
AX 2012 exception while adding inventory movement by C# WCF service,0
"How to suppress writing empty string value to JSON (C#, .NET 8, System.Text.Json)",0
"In .NET MAUI, ScrollView with nested CollectionView adds unexpected bottom whitespace on iOS – why?",0
Error when creating EDMX from LocalDB .mdf in Visual Studio 2022,0
LiveCharts 2 for WPF (.NET 8) – Axis and labels cut off in real-time plot,0
"WPF ListView items not displaying data from Binding (showing blank or wrong values)""",0
A combobox as new property for a usercontrol to show in the designer crashes VS,1
Winui 3 app runs perfectly using F5 but fails to deploy as a single .exe file,0
Refactoring minimal web application pattern into classic full Program.cs with main,1
Func<T>.BeginInvoke() not supported in C# on .NET 8 or higher,0
DB creation fails through the Azure web app with Azure Postgres Flexible Server,0
Null exception in XAML,0
Error reading resource file after deleting my form,0
Update an ObservableCollection in MAUI Windows raises an unmanaged error,0
how to go about changing displayed XAML file on a WPF program,0
JsonSchema.net doesnt contain errors when evaluating an invalid document against CycloneDX schema,0
